nombre_corto,nombre_cliente
PAGDIG,
BOHERMI,
EVAREC,
SUPERNO2,
Evanat2,
EVASUAVI4 FASE 5,
PRUDANY,
SUPNINO,
CONPIC,
VideoCP,
ALDRICH,
HALLS2,
PRIUSREC,
USERAT,
MEDELLIN2,
318131 POLVO,
EVAMETA Gaming Behavior,
INTERPOP,
TAMSOFT,
SEGSEX,
VANICLAIM,
EVAWALL23,
RECURSOH,
318474 cigarros,
SHOSUPLINE,
TENMERCA,
EVASUAVI4 FASE 6,
EVACLATO,
PRIONPS OLA 17 (F2F) ENERO'23,
BLUENPS OLA 17 (F2F) ENERO'23,
INDITEL23 OLA 1 ENERO,
NPSTDC23 OLA1-17 (F2F),
BRANDPURP C,
PGTAB,
MILANO,
319112 VODKA,
TRACAP2 Ola 7 Enero'23,
Prunuht8,
PYMNPS Ola 5 Enero '23,
SEGNPS Q1 (ENERO'23),
POSBLACK Fase 1,
EVASUPBAZ OLA 8,
BURMAX,
Evafla3,
Evaveg23,
TRACKVPGAL OLA 5 EXTRA,
SATISE23,
INDITEL23 OLA 2 FEBRERO,
TRACAP2 Ola 7 Febrero'23,
PYMNPS Ola 6 Febrero '23,
SEGNPS Q1 (FEBRERO'23),
PRIONPS OLA 18 (F2F) FEBRERO'23,
BLUENPS OLA 18 (F2F) FEBRERO'23,
LAKECO1,
319319 Whiskey,
PTWHIS,
TRAPROP23 OLA 1 (Ene-Mar),
NPSTDC23 OLA2-18 (F2F),
EVACHORI2,
ELK,
PTZERO,
UACLAS2 Extra,
CONATT2,
VPCLAS2,
Evachego23,
TRACAP2 Ola 7 Marzo'23,
PYMNPS Ola 7 Marzo '23,
319851 Tang,
SEGNPS Q1 (MARZO'23),
BLUENPS OLA 19 (F2F) MARZO'23,
PRIONPS OLA 19 (F2F) MARZO'23,
TRACKVPGAL OLA 6 ,
INDITEL23 OLA 3 MARZO,
PRUOLLA23,
PTADES23,
NPSTDC23 OLA3-19 (F2F),
LITTLE,
319882 RUM,
POSBLACK Fase 3,
EVAMETA VTM,
IPTEFI2,
319786 DOGCUA,
Prucarni23 PPP-SPN-JPCP,
LIFTS Análisis 1,
PRIUS2,
VPTELA,
VPMARI,
TRACKVPNUT OLA 6,
TRACKVPSAL OLA 7,
BRANDPURP D,
Evaino2,
PALNOR,
INDITEL23 OLA 4 ABRIL,
EVACHORI3,
PYMNPS Ola 8 Abril '23,
SEGNPS Q2 (ABRIL'23),
TRACAP2 Ola 8 Abril'23,
Convdk,
Evapastcho,
UACONIBE,
NATUCLAIM,
TRACKINOSAL23 OLA 1,
VPTAK,
EBESTAK,
BURCON2,
CPTADE,
EVAMETA VTM Brasil,
KSFBAZ OLA 0 ABRIL,
ONPRE23,
TRACKINOGA23 OLA 1,
TRAPROP23 OLA 2 (Abr-Jun),
EVAHAR,
PRUDANKI,
PTBONTE,
Prucarni23 JVPJAMPCN,
SEGNPS Q2 (MAYO'23),
TRACAP2 Ola 8 Mayo'23,
PYMNPS Ola 9 Mayo'23,
CONSUB,
319598 cookie,
INDITEL23 OLA 5 MAYO,
CONMAIZ2,
BOMBAZ,
320201 chocolate,
EMPAHEIN,
TRACKPAIR OLA 1,
QATAR,
320383 Cristalino,
SEGNU,
OLEICO,
CAOS,
CUALAMB,
BALBOA2,
BOMBAZ2,
EVAMETA VIS,
EVAPRESI23,
PGTAB2,
MYSTERSIX23 OLA 1,
EVAPSM,
PRUFRAN,
PRUSIL23,
SEGNPS Q2 (JUNIO'23),
TEKINDI DRINKABILITY,
TRACAP2 Ola 8 Junio'23,
PYMNPS Ola 10 Junio'23,
BPTPRI,
BPTIBE,
INDITEL23 OLA 6 JUNIO,
Prucarni23 SP´S-PP´S-V´S ,
HOT IRON,
BOMBAZ3,
SUPTEST231,
NUJTBD,
Sholechewal,
EVARCUS,
AROM,
CONBEER2,
VPSALAD,
320507 Philadelphia,
VPHOTQ,
EVAHOT,
UAVENAT2,
BATIS,
PRUACTI23,
317787 Nicotina,
PRUBENE,
SUPNINO23,
PTCLARA,
Prucarni23 SP100P-PP100P-JP100P,
TEKINDI Conjoint & CPT,
Shocongewal (Cuali),
Shocongewal,
PGTCAPU,
TELSEG23,
SEGNPS Q3 (JULIO'23),
PYMNPS Ola 11 Julio'23,
TRACAP2 Ola 9 Julio'23,
TRACKVPBAR23 OLA 1,
TRACKVPAVE23 OLA 1,
EVAFRANK,
INDITEL23 OLA 7 JULIO,
320607 SCandy,
321287 Deliceoxy,
Shobabycomer,
CPTNATU,
EVAFIR,
IPTMAX3,
Curso Sensorial Lala,
TRAKALP23 LECHE O7,
